timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1778229937777,437,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-39,text,true,,2264,1399,77,77,https://tpm.l.fjfj.es/tool-provider-manager/tools,437,0,0
1778229937784,431,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-2,text,true,,2264,1399,77,77,https://tpm.l.fjfj.es/tool-provider-manager/tools,430,0,0
1778229937785,476,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-20,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,476,0,0
1778229937770,491,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-57,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,491,0,0
1778229937782,479,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-45,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,479,0,0
1778229937786,475,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-8,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,475,0,0
1778229937774,487,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-7,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,487,0,0
1778229937783,479,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-5,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,479,0,0
1778229937782,480,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-53,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,480,0,0
1778229937782,481,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-51,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,481,0,0
1778229937786,484,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-42,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,484,0,0
1778229937789,481,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-11,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,481,0,0
1778229937787,483,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-4,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,483,0,0
1778229937786,487,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-22,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,487,0,0
1778229937793,505,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-28,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,505,0,0
1778229937793,505,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-12,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,505,0,0
1778229937872,426,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-65,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,426,0,0
1778229937776,523,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-48,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,523,0,0
1778229937791,508,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-41,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,508,0,0
1778229937662,637,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-72,,true,,576,445,78,78,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,637,0,134
1778229937765,534,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-73,,true,,576,445,78,78,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,534,0,108
1778229937973,327,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-66,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,327,0,0
1778229937790,510,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-46,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,510,0,0
1778229937786,521,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-21,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,521,0,0
1778229938072,241,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-67,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,241,0,0
1778229938174,161,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-68,text,true,,2264,1399,78,78,https://tpm.l.fjfj.es/tool-provider-manager/tools,161,0,0
1778229937859,476,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-74,,true,,576,445,78,78,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,476,0,210
1778229937960,376,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-75,,true,,576,445,78,78,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,376,0,257
1778229938272,99,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-69,text,true,,2264,1399,79,79,https://tpm.l.fjfj.es/tool-provider-manager/tools,99,0,0
1778229938060,311,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-76,,true,,576,445,79,79,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,311,0,198
1778229938159,221,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-77,,true,,576,445,79,79,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,221,0,124
1778229938339,88,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-19,,true,,461,494,79,79,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,88,0,0
1778229938260,169,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-78,,true,,576,445,79,79,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,169,0,84
1778229938367,86,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-9,,true,,461,494,79,79,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,86,0,0
1778229938383,81,Tool Launch,200,OK,Lanzamiento LTI 1.3 1-70,text,true,,2264,1399,80,80,https://tpm.l.fjfj.es/tool-provider-manager/tools,81,0,0
1778229938447,165,OIDC Login,302,Found,Lanzamiento LTI 1.3 1-44,,true,,461,494,81,81,https://tpm.l.fjfj.es/tool-provider-manager/oidc_login,165,0,0
